mdb_id,gnd,qid,full_name,multi_role
11004854,1140817256,Q40974976,Christoph Ploß,False
11004853,1186995289,Q40998066,Stephan Pilsinger,False
11004852,115427643,Q315151,Tobias Pflüger,False
11004851,129518689,Q7477615,Frauke Petry,False
11004850,1045618608,Q40881740,Tobias Matthias Peterka,False
11004849,1035107112,Q1728909,Victor Perli,False
11004848,1131110420,Q40999339,Sören Pellmann,False
11004847,122825530X,Q40470241,Frank Pasemann,False
11004846,1228245886,Q40880800,Gerold Otten,False
11004845,1051165245,Q40999127,Josef Oster,False
11004844,1154557766,Q40919890,Josephine Ortleb,False
11004843,1181718732,Q40993181,Ulrich Oehme,False
11004842,,Q40650476,Jan Ralf Nolte,False
11004841,,Q2080285,Petra Nicolaisen,False
11004839,1203233930,Q40810647,Christoph Neumann,False
11004837,1205773193,Q40998599,Zaklin Nastic,False
11004836,1228242909,Q33309067,Sebastian Münzenmaier,False
11004835,1170242979,Q40895849,Volker Münz,False
11004834,1226114806,Q41594734,Frank Müller-Rosentritt,False
11004833,1244171263,Q40999014,Roman Müller-Böhm,False
11004832,1141608065,Q40999402,Sepp Müller,False
11004831,1221417274,Q40879872,Hansjörg Müller,False
11004830,118693896X,Q6523639,Claudia Müller,False
11004829,1176287281,Q40998023,Axel Müller,False
11004828,1162702028,Q40998561,Alexander Müller,False
11004827,1227809379,Q23564779,Andreas Mrosek,False
11004826,1234993716,Q40998750,Siemtje Möller,False
11004825,,Q40998854,Claudia Moll,False
11004824,1211975185,Q41111971,Falko Mohrs,False
11004823,1199522422,Q41080910,Amira Mohamed Ali,False
11004822,1228255296,Q40984442,Mario Mieruch,False
11004821,122824510X,Q40878850,Corinna Miazga,False
11004820,,Q123171,Christoph Meyer,False
11004819,115441583X,Q40136224,Pascal Meiser,False
11004817,105068995X,Q16999689,Fabio De Masi,False
11004816,122887611,Q99663,Jürgen Martens,False
11004815,1154959376,Q40998591,Till Mansmann,False
11004814,121240029,Q750695,Astrid Mannes,False
11004813,1156958210,Q40572710,Birgit Malsack-Winkemann,False
11004812,108877205,Q20753082,Lothar Maier,False
11004811,1206584106,Q39238058,Jens Maier,False
11004810,1227809360,Q23060128,Frank Magnitz,False
11004809,1035528010,Q108447,Heiko Maas,False
11004807,1227809395,Q40848063,Rüdiger Lucassen,False
11004806,1136967567,Q30579521,Bernhard Loos,False
11004805,119965714X,Q21014891,Nikolas Löbel,False
11004802,1212685121,Q40998992,Helge Lindh,False
11004801,1197161058,Q2371230,Sven Lehmann,False
11004800,1199569615,Q62995,Jens Lehmann,False
11004799,1171363850,Q40998225,Ulrich Lechte,False
11004798,114961522,Q71763,Alexander Graf Lambsdorff,False
11004797,,Q40997988,Alexander Kulitz,False
11004796,1217272275,Q16216417,Konstantin Kuhle,False
11004795,1142274462,Q40998043,Michael Kuffer,False
11004793,1181825393,Q2642495,Alexander Krauß,False
11004792,130800368,Q40984890,Rainer Kraft,False
11004791,1227809387,Q40846824,Steffen Kotré,False
11004790,,Q18202322,Elvan Korkmaz-Emre,False
11004789,,Q40999227,Carina Konrad,False
11004788,1228255369,Q40921995,Jörn König,False
11004787,134228316,Q26792878,Enrico Komning,False
11004786,1128177951,Q40998056,Lukas Köhler,False
11004784,,Q40997285,Daniela Kluckert,False
11004783,,Q40974956,Katharina Willkomm,False
11004782,1023689669,Q40997678,Marcel Klinge,False
11004781,1020335874,Q40978854,Norbert Kleinwächter,False
11004780,1020609648,Q1734454,Karsten Klein,False
11004779,,Q40998109,Michael Kießling,False
11004778,1227809417,Q40876446,Stefan Keuter,False
11004777,1228244480,Q40998844,Jens Kestner,False
11004776,,Q39678866,Achim Kessler,False
11004775,1198151463,Q2425648,Thomas L. Kemmerich,False
11004774,1160329532,Q40999257,Torbjörn Kartes,False
11004773,,Q1743637,Kirsten Kappert-Gonther,False
11004772,1228255377,Q40874199,Uwe Kamann,False
11004771,1160329613,Q40999425,Elisabeth Kaiser,False
11004770,,Q1663079,Ingmar Jung,False
11004769,136475442,Q40997626,Christian Jung,False
11004768,120018519,Q1774046,Marc Jongen,False
11004767,1227809425,Q40847784,Fabian Jacobi,False
11004766,1126744239,Q1577714,Hans-Jürgen Irmer,False
11004765,103491247X,Q35975111,Ulla Ihnen,False
11004764,,Q40983433,Johannes Huber,False
11004763,,Q40892185,Reinhard Houben,False
11004762,,Q13533978,Ottmar von Holtz,False
11004761,1228242631,Q26270011,Leif-Erik Holm,False
11004760,123248930,Q28914130,Bruno Hollnagel,False
11004759,104395029X,Q1723783,Matthias Höhn,False
11004757,1192277678,Q40997670,Christoph Hoffmann,False
11004756,,Q41244415,Bettina Hoffmann,False
11004754,1034897640,Q1514489,Gero Clemens Hocker,False
11004753,1142194795,Q40999236,Nicole Höchst,False
11004752,1228243166,Q40589032,Karsten Hilse,False
11004751,1117241963,Q40999302,Heiko Heßenkemper,False
11004750,1020609087,Q1557103,Katja Hessel,False
11004749,1210401932,Q40895536,Martin Hess,False
11004748,1227809476,Q42222998,Lars Herrmann,False
11004747,1228245452,Q40998789,Waldemar Herdt,False
11004746,1276237693,Q2444869,Torsten Herbst,False
11004745,1207154970,Q40998965,Markus Herbrand,False
11004744,1141632381,Q40999107,Marc Henrichmann,False
11004743,1189176181,Q40873836,Udo Theodor Hemmelgarn,False
11004742,1212264002,Q41566062,Katrin Helling-Plahr,False
11004741,13337419X,Q2424616,Thomas Heilmann,False
11004740,1228245533,Q40694068,Martin Hebner,False
11004739,1146478801,Q40475799,Jochen Haug,False
11004738,1228255326,Q40980390,Roland Hartwig,False
11004737,1228243786,Q40999331,Verena Hartmann,False
11004736,1182718213,Q40472081,Mariana Iris Harder-Kühnel,False
11004735,,Q16318408,Armin-Paulus Hampel,False
11004734,102060056X,Q2424482,Thomas Hacker,False
11004733,1170707319,Q40998214,Erhard Grundl,False
11004732,1117846032,Q2434972,Timon Gremmels,False
11004731,122824474X,Q40476219,Kay Gottschalk,False
11004730,1027004199,Q103160,Wilhelm von Gottberg,False
11004729,,Q40999347,Eckhard Gnodtke,False
11004728,1228243239,Q40958927,Franziska Gminder,False
11004727,1153486512,Q20645389,Albrecht Glaser,False
11004726,116982000X,Q2336360,Stefan Gelbhaar,False
11004725,1227809441,Q40805630,Axel Gehrke,False
11004724,122350138,Q1670311,Alexander Gauland,False
11004723,1113294795,Q21014671,Sylvia Gabelmann,False
11004722,1069226165,Q40571929,Götz Frömming,False
11004721,1210739828,Q24540200,Markus Frohnmaier,False
11004720,114110220X,Q40978414,Anton Friesen,False
11004719,1228244103,Q40998811,Dietmar Friedhoff,False
11004717,1212685288,Q40999268,Brigitte Freihold,False
11004716,1156392152,Q15804500,Daniel Föst,False
11004715,1140154990,Q40998541,Susanne Ferschl,False
11004714,1228245703,Q40880169,Peter Felser,False
11004713,1042421390,Q15606894,Yasmin Fahimi,False
11004712,1047150034,Q27882896,Marcus Faber,False
11004711,1131824962,Q40875653,Michael Espendiller,False
11004710,1082316784,Q40999031,Wiebke Esdar,False
11004709,1161104763,Q40998551,Thomas Erndl,False
11004708,,Q40477093,Berengar Elsner von Gronow,False
11004707,1228255350,Q40998823,Thomas Ehrhorn,False
11004706,1170692915,Q40997474,Hartmut Ebbing,False
11004705,1034706942,Q102641,Christian Dürr,False
11004704,1135103852,Q40428300,Siegbert Droese,False
11004703,1046704877,Q556667,Anke Domscheit-Berg,False
11004701,,Q40988876,Esther Dilcher,False
11004700,1236629140,Q40998247,Britta Katharina Dassler,False
11004699,,Q750543,Astrid Damerow,False
11004698,118187317,Q27917019,Gottfried Curio,False
11004697,1155740785,Q40999085,Carl-Julius Cronenberg,False
11004696,1228244901,Q40896434,Joana Cotar,False
11004695,1198271310,Q40895143,Tino Chrupalla,False
11004694,137274548,Q40997480,Anna Christmann,False
11004693,1240280807,Q40998571,Jörg Cezanne,False
11004692,1141483742,Q24260075,Petr Bystron,False
11004691,1228255318,Q41617093,Matthias Büttner,False
11004690,,Q1733789,Karlheinz Busen,False
11004688,1190326302,Q865473,Birke Bull-Bischoff,False
11004687,1228243638,Q40813093,Marcus Bühl,False
11004686,1068467312,Q1736700,Katrin Budde,False
11004684,1013082575,Q40998983,Carsten Brodesser,False
11004683,1012809447,Q1817709,Leni Breymaier,False
11004682,1161541608,Q40998256,Sebastian Brehm,False
11004681,120030134X,Q40998761,Silvia Breher,False
11004680,1228243514,Q40994438,Jürgen Braun,False
11004679,1197172041,Q40997616,Michel Brandt,False
11004678,1227809344,Q18176740,Stephan Brandner,False
11004677,124806643X,Q40999277,Mario Brandenburg,False
11004676,139732063,Q41699566,Jens Brandenburg,False
11004675,1069632643,Q37810277,Peter Boehringer,False
11004674,1228244626,Q40979188,Andreas Bleck,False
11004673,1212213130,Q42115961,Marc Biadacz,False
11004672,1020645512,Q40804106,Lorenz Gösta Beutin,False
11004671,1170700993,Q42116735,Christoph Bernstiel,False
11004670,1197171681,Q40999288,Melanie Bernstein,False
11004669,1228244375,Q40976001,Marc Bernhard,False
11004668,1046246747,Q1986069,Nicola Beer,False
11004667,,Q40999063,Olaf In der Beek,False
11004666,,Q40803793,Jens Beeck,False
11004665,1140459228,Q1032742,Canan Bayram,False
11004664,104508901X,Q40997659,Danyal Bayaz,False
11004663,120558696,Q1894938,Margarete Bause,False
11004662,1160204667,Q19362177,Bernd Baumann,False
11004661,1241143242,Q40998121,Nicole Bauer,False
11004660,1170693458,Q40998271,Simone Barrientos,False
11004659,1211975320,Q40998238,Lisa Badum,False
